time,temperature_2m,snowfall_sum,skin_reservoir_content,surface_latent_heat_flux_sum,surface_net_solar_radiation_sum,total_evaporation_sum,runoff_sum,u_component_of_wind_10m,v_component_of_wind_10m,surface_pressure,leaf_area_index_high_vegetation,total_precipitation_sum,ssta
196107,295.5968971,0.0,5.88e-05,-253087829.6,550315541.0,-0.101202748,0.016379523,0.181663242,1.288454985,86754.77093,0.711122468,0.153958632,-0.28866666666666774
196108,292.9071664,0.0,6.85e-05,-234152167.6,443778046.6,-0.093630906,0.028301512,-0.297048613,0.895119309,87173.80335,0.71072481,0.18305658,-0.6439999999999984
196109,287.0707582,1.35e-05,4.17e-05,-181261261.8,417723380.8,-0.072481258,0.01745242,-0.077796623,0.791703468,87566.94442,0.687580031,0.128432377,-0.9473333333333294
196110,281.0618283,0.000471391,4.15e-05,-94811280.39,286687306.2,-0.037910943,0.007504489,0.049034212,0.89051251,88086.6785,0.66392672,0.060677773,-0.963000000000001
196111,272.7766092,0.011002716,2.5e-05,-35577287.85,193706029.2,-0.014107516,0.006473608,1.024536139,0.517278393,88152.95681,0.654729289,0.025924576,-0.5576666666666661
196112,263.1847563,0.005979232,5.87e-06,-14616603.63,164796723.4,-0.005210453,0.006445142,1.617154378,-0.148176548,87985.23339,0.652955144,0.006155537,-0.5910000000000011
196201,259.9836622,0.006868432,9.49e-06,-14481376.8,191740931.0,-0.005120474,0.006308294,1.045030565,-0.678059251,88167.60885,0.652556326,0.006932012,-0.5923333333333325
196202,266.9032188,0.011708578,1.42e-05,-26402558.64,239145358.0,-0.009764264,0.006185843,1.55231711,-0.476200611,87822.06786,0.653089458,0.012810955,-0.5516666666666659
196203,272.4767498,0.004814797,7.87e-06,-55114974.11,442668485.1,-0.021615209,0.006406241,1.803799732,-0.702508523,87552.73717,0.656374316,0.011619232,-0.434666666666665
196204,279.4720219,0.001911392,9.33e-06,-104715113.7,521415063.8,-0.041795868,0.004421661,0.878135143,-0.430279808,87508.37928,0.662611706,0.011666677,-0.5796666666666681
196205,287.8774108,1.26e-05,1.25e-05,-144363648.1,621138941.9,-0.057725221,0.004267041,1.079501152,-0.228384182,87195.95313,0.679155309,0.019522922,-0.7620000000000005
196206,292.4162191,0.0,2.52e-05,-148189671.7,617195849.0,-0.059256905,0.004496609,0.262868949,0.120768161,87009.09147,0.698319377,0.044643917,-0.5110000000000028
196207,294.0745411,0.0,6.62e-05,-240717731.9,523943301.7,-0.096256289,0.024374486,-0.063156249,0.395463448,86782.119,0.711122468,0.174099494,-0.41866666666666674
